City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,atasu,48.6814,71.6433,260.46,91,100,2.81,KZ,1675832548
119,buraydah,26.326,43.975,281.4,46,100,3.72,SA,1675832339
120,dingle,10.9995,122.6711,301.35,67,100,7.44,PH,1675832549
121,ostersund,63.1792,14.6357,273.4,86,65,4.63,SE,1675832549
122,kalmunai,7.4167,81.8167,300.7,74,85,4.74,LK,1675832550
123,itaueira,-7.6033,-43.0256,295.15,82,73,0.59,BR,1675832551
124,lishu,43.3047,124.3278,270.37,36,0,4.76,CN,1675832552
125,brae,60.3964,-1.353,280.0,74,100,14.03,GB,1675832552
126,kodiak,57.79,-152.4072,269.5,72,38,3.16,US,1675832553
127,wiang sa,8.6359,99.3666,306.64,55,33,0.5,TH,1675832555
128,paamiut,61.994,-49.6678,257.74,77,90,5.59,GL,1675832557
129,saint-augustin,51.226,-58.6502,254.43,91,39,2.63,CA,1675832558
130,ponta delgada,37.7333,-25.6667,285.55,87,40,4.12,PT,1675832559
131,nyurba,63.2842,118.3319,241.37,93,100,0.32,RU,1675832559
132,port blair,11.6667,92.75,303.17,58,40,3.6,IN,1675832560
133,ostrovnoy,68.0531,39.5131,270.94,82,11,9.07,RU,1675832286
134,bathsheba,13.2167,-59.5167,298.49,83,40,5.66,BB,1675832560
135,tuatapere,-46.1333,167.6833,284.32,77,65,6.79,NZ,1675832266
136,tiksi,71.6872,128.8694,235.34,99,93,2.79,RU,1675832561
137,beringovskiy,63.05,179.3167,243.21,96,68,3.32,RU,1675832561
138,seoul,37.5683,126.9778,281.81,30,0,3.6,KR,1675831841
139,komsomolskiy,40.4272,71.7189,278.55,60,92,2.06,UZ,1675832562
140,cururupu,-1.8283,-44.8683,296.32,96,100,1.06,BR,1675832562
141,sorland,67.667,12.6934,280.07,89,100,22.67,NO,1675832285
142,nola,40.922,14.5329,277.26,68,13,2.34,IT,1675832563
143,carnarvon,-24.8667,113.6333,303.39,53,4,7.04,AU,1675832563
144,bandarbeyla,9.4942,50.8122,298.62,69,99,5.47,SO,1675832564
145,yulara,-25.2406,130.9889,311.86,14,0,5.52,AU,1675832564
146,avera,33.194,-82.5271,283.88,67,57,2.55,US,1675832565
147,taoudenni,22.6783,-3.9836,289.37,22,84,5.19,ML,1675832565
148,anchorage,61.2181,-149.9003,271.86,93,100,5.66,US,1675832504
149,broome,42.2506,-75.833,276.96,79,100,4.12,US,1675832566
150,longyearbyen,78.2186,15.6401,268.06,74,40,4.12,SJ,1675832284
151,benin,9.5,2.25,296.78,22,70,1.51,BJ,1675832566
152,makakilo city,21.3469,-158.0858,296.31,75,75,3.09,US,1675832567
153,nanakuli,21.3906,-158.1547,297.1,60,75,3.09,US,1675832567
154,cabo san lucas,22.8909,-109.9124,293.43,38,87,2.38,MX,1675832267
155,waipawa,-41.4122,175.5153,291.85,64,17,1.44,NZ,1675832568
156,phuket,8.0,98.25,303.27,62,20,5.66,TH,1675832279
157,tuktoyaktuk,69.4541,-133.0374,243.15,69,100,1.54,CA,1675832568
158,clyde river,70.4692,-68.5914,237.28,68,0,2.06,CA,1675832569
159,molochnoye,59.2917,39.6787,265.93,92,97,5.06,RU,1675832569
160,saint-pierre,-21.3393,55.4781,301.97,65,0,10.8,RE,1675832570
161,nueve de julio,-35.4444,-60.8831,296.1,37,47,2.42,AR,1675832292
162,emba,48.8264,58.1442,258.63,90,40,6.5,KZ,1675832570
163,breves,-1.6822,-50.4803,295.72,98,100,1.24,BR,1675832570
164,naron,43.5167,-8.1528,279.77,75,13,2.51,ES,1675832391
165,cidreira,-30.1811,-50.2056,296.97,82,6,6.17,BR,1675832571
166,luganville,-15.5333,167.1667,301.34,77,100,2.94,VU,1675832571
167,tyret pervaya,53.6703,102.3106,260.89,89,100,1.72,RU,1675832572
168,varkkallai,8.7341,76.7067,303.03,54,29,0.34,IN,1675832572
169,wajid,3.8093,43.2471,297.92,56,0,9.74,SO,1675832572
170,berlevag,70.8578,29.0864,273.15,64,75,13.38,NO,1675832573
171,mar del plata,-38.0023,-57.5575,295.98,97,100,7.6,AR,1675832573
172,hofn,64.2539,-15.2082,272.38,65,100,7.33,IS,1675832574
173,porto belo,-27.1578,-48.5531,296.57,82,22,0.69,BR,1675832574
174,mount pleasant,32.7941,-79.8626,286.23,90,75,0.0,US,1675832396
175,kijang,35.2442,129.2139,286.0,25,15,4.52,KR,1675832574
176,coahuayana,18.7333,-103.6833,294.09,94,16,1.53,MX,1675832575
177,alofi,-19.0595,-169.9187,301.09,78,100,5.14,NU,1675832575
178,guerrero negro,27.9769,-114.0611,288.75,33,0,1.09,MX,1675832576
179,praya,14.9215,-23.5087,292.45,63,75,10.29,CV,1675832563
180,svetlyy,54.675,20.1347,274.18,81,92,5.56,RU,1675832576
181,manor,19.75,72.9167,302.08,25,2,1.07,IN,1675832576
182,gilbues,-9.8317,-45.3439,295.28,76,59,0.92,BR,1675832577
183,acapulco,16.8634,-99.8901,297.13,75,1,1.98,MX,1675832357
184,paraiso,9.8383,-83.8656,292.63,99,98,2.23,CR,1675832005
185,nexo,55.0607,15.1306,275.2,68,98,6.15,DK,1675832577
186,taltal,-25.4,-70.4833,293.74,84,21,0.83,CL,1675832578
187,north myrtle beach,33.816,-78.68,285.94,89,63,2.77,US,1675832414
